segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
152,A-8,A,139.35,199.5,59.98544140625,36589.03125,31955.8125,4633.21875,32.0,True,60,39
153,A-8,A,199.5,229.26,30.457134765625,20879.9,17868.8,3011.1,20.0,True,60,39
154,A-8,A,229.26,230.07,1.0172723388671876,43017.5,37793.5,5224.0,4.0,True,60,39
155,A-8,A,230.07,273.55,43.00023828125,27924.15,25230.0,2694.15,20.0,True,60,39
156,A-8,A,273.55,294.4,20.94788671875,11662.375,9929.3125,1733.0625,16.0,True,60,33
157,A-8,A,294.4,360.13,65.724734375,15577.805555555555,13424.694444444445,2153.1111111111113,36.0,True,60,33
158,A-8,A,360.13,379.36,18.912595703125,20668.875,19092.5,1576.375,8.0,True,60,33
159,AP-7R,AP,799.79,802.11,2.117697509765625,28815.333333333332,27452.0,1363.3333333333333,3.0,False,120,30
160,AP-9,AP,2.63,13.78,11.162439453125,29918.25,28203.916666666668,1714.3333333333333,12.0,True,60,15
161,AP-9,AP,13.78,15.82,2.0422757568359375,22177.75,20202.75,1975.0,4.0,True,60,15
162,AP-9,AP,15.82,67.27,51.50725390625,16090.0,14653.166666666666,1436.8333333333333,12.0,True,60,15
163,AP-9,AP,67.27,132.45,65.25265234375,26663.75,23625.75,3038.0,32.0,True,60,36
164,AP-9,AP,132.45,159.81,27.3904921875,42466.958333333336,38625.416666666664,3841.5416666666665,24.0,True,60,
165,AP-9,AP,159.81,162.136,2.328515380859375,21969.25,20023.5,1945.75,4.0,True,60,36
166,AP-9,AP,162.136,177.86,15.741556640625,6317.125,5670.25,646.875,8.0,False,120,36
167,AP-9F,AP,0.0,36.19,36.20519140625,19375.5,18040.3125,1335.1875,32.0,True,60,15
168,AP-9V,AP,0.2,5.02,4.68233544921875,51292.5,48741.25,2551.25,8.0,False,120,36
169,N-1,N,199.69,202.8,3.8854140625,4282.0,3285.75,996.25,4.0,False,120,09
170,N-1,N,230.0,230.4,0.40038104248046874,2513.0,,,,False,120,09
171,N-1,N,244.0,246.78,3.093501953125,2513.0,,,,False,120,09
172,N-1,N,246.78,248.87,2.056424072265625,2513.0,1731.0,782.0,4.0,False,120,09
173,N-1,N,249.5,321.45,71.6010625,3256.9285714285716,2485.964285714286,770.9642857142857,28.0,False,120,09
