Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
MURUARTE 400;12067;50401;SEPE;Comunidad Foral de Navarra;;✓;;;SI;NO;SI;668; N/A ;  ;668;N/A;N/A;668;668;WSCR_Nudo;N/A;1.727;E139_SEPE;1727;1499;1499;1.499;1.499;Est_Gen_Zona;NO;1.900;E139_SEPE;1900;1833;1833;1.833;1.833;Est_Alm_Zona;NO;986; N/A ;986;N/A;N/A;986;986;986;D_Nudo;N/A;0;0;0;0;0;0;0;20;0;20;0;20;20;0;986;668;986;668;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;986;668;986;668;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;22; NO ;2.320; SI ; NO ;;SI;29/06/2021;;;;;986;668;986;668;Concurso;
MURUARTE 220;22153;50401;SEPE;Comunidad Foral de Navarra;✓;✓;;;SI;NO;SI;231; N/A ;  ;4;N/A;N/A;4;4;WSCR_Nudo;N/A;759;E139_SEPE, E251_SEPE, E270_SEPE;532;-435;-435;0;0;Est_Gen_Zona;SI;1.071;E139_SEPE, E251_SEPE, E270_SEPE;843;22;22;22;22;Est_Alm_Zona;SI;1.200; D58_SEPE ;972;972;972;N/A;972;972;D_Zona;NO;228;0;228;0;228;228;0;549;0;549;0;549;56;493;0;0;22;4;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;WSCR_Nudo;0;0;0;0;;0;0;0;0;22;4;0;0;228;228;0;0;0;1.931; SI ;1.628; SI ; NO ;;;;;;;;;;;;;
NARAIO 400;11051;51282;SEPE;Galicia;;;;✓;NO;SI;SI;0; N/A ;  ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;1.496;E354_SEPE;1496;1496;1496;1.496;1.496;Est_Gen_Nudo/Est_Gen_Zona;SI;1.673;E354_SEPE;1673;1673;1673;1.673;1.673;Est_Alm_Nudo/Est_Alm_Zona;SI;1.106; N/A ;1106;N/A;N/A;1.106;1.106;1.106;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.106;0;1.106;0;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;1.106;0;1.106;0;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;122; NO ; NO ;;SI;19/06/2024;;;;;1106;0;1106;0;Concurso;
NARCEA 400;11050;50402;SEPE;Principado de Asturias;✓;;✓;;SI;SI;SI;385; N/A ;  ;385;N/A;N/A;385;385;WSCR_Nudo;N/A;1.300;E6_SEPE;1283;3032;3032;1.283;1.283;Est_Gen_Nudo;SI;1.766;E6_SEPE;1744;4013;4013;1.744;1.744;Est_Alm_Nudo;SI;831; D26_SEPE ;809;370;370;N/A;370;370;D_Zona;SI;22;8;0;15;15;17;5;27;0;0;27;27;27;0;370;370;370;370;D_Zona;D_Zona;D_Zona;D_Zona;370;370;370;370;Nudo de Transición Justa. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;22;22;0;0;0;186; NO ;33; NO ; NO ;;;;SI;;354;252;370;370;370;370;NTJ;Orden TED/1471/2024
NORTE 220;24190;51239;SEPE;Comunidad de Madrid;;;✓;;NO;SI;SI;901; N/A ;  ;901;N/A;N/A;901;901;WSCR_Nudo;N/A;774;E216_SEPE;774;856;856;774;774;Est_Gen_Nudo;NO;850;E216_SEPE;850;931;931;850;850;Est_Alm_Nudo;NO;678; N/A ;678;N/A;N/A;N/A;678;678;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;678;678;678;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;678;678;0;0;678;678;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
NOVELDA 220;24061;50403;SEPE;Comunidad Valenciana;;✓;✓;;SI;SI;SI;365; N/A ;  ;155;N/A;N/A;155;155;WSCR_Nudo;N/A;1.566;N/A;1357;N/A;N/A;1.357;1.357;Est_Gen_Nudo;N/A;1.606;N/A;1397;N/A;N/A;1.397;1.397;Est_Alm_Nudo;N/A;671; N/A ;462;N/A;N/A;N/A;462;462;D_Nudo;N/A;209;0;209;0;209;209;0;15;0;0;15;15;15;0;462;155;462;155;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;462;155;462;155;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;209;209;0;0;0;0; NO ;113; NO ; NO ;;SI;29/06/2021;;;;;462;155;462;155;Concurso;
NUDO VIARIO 220;23193;50404;SEPE;Cataluña;;;;;NO;NO;NO;707; N/A ;  ;707;N/A;N/A;707;707;WSCR_Nudo;N/A;827;N/A;827;N/A;N/A;827;827;Est_Gen_Nudo;N/A;843;N/A;843;N/A;N/A;843;843;Est_Alm_Nudo;N/A;805; N/A ;805;N/A;N/A;N/A;805;805;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;805;707;805;707;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;805;707;805;707;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;20; NO ; NO ;;;;;;;;;;;;;
NUEVA CASARES 220;25124;50405;SEPE;Andalucía;;✓;✓;;SI;SI;SI;318; N/A ;  ;178;N/A;N/A;178;178;WSCR_Nudo;N/A;552;N/A;381;N/A;N/A;381;381;Est_Gen_Nudo;N/A;567;N/A;396;N/A;N/A;396;396;Est_Alm_Nudo;N/A;1.266; N/A ;1094;N/A;N/A;N/A;1.094;1.094;D_Nudo;N/A;171;19;139;13;152;171;0;0;0;0;0;0;0;0;381;178;396;178;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;381;178;396;178;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;171;171;0;0;0;30; NO ;0; NO ; NO ;;SI;29/06/2021;;;;;381;178;396;178;Concurso;
NUEVA ESCOMBRERAS 400;14051;50406;SEPE;Región de Murcia;✓;;;;SI;NO;SI;370; W02_SEPE_BIN ;  ;370;370;370;370;370;WSCR_Zona;NO;2.748;E170_SEPE_Bin;341;362;362;341;341;Est_Gen_Nudo;NO;3.609;E170_SEPE_Bin;1202;1204;1204;1.202;1.202;Est_Alm_Nudo;NO;542; D81_SEPE_Bin ;-1865;-2040;-2040;181;0;0;D_Nudo/D_Zona;NO;2.407;2.407;0;0;0;2.407;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo/D_Zona;D_Nudo/D_Zona;D_Nudo/D_Zona;D_Nudo/D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;2.407;2.407;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
NUEVA ESCOMBRERAS (NUEVA ESCOMBRERAS B) 400;54051;50406;SEPE;Región de Murcia;;;;;NO;NO;NO;391; W02_SEPE_BIN ;  ;391;370;370;370;370;WSCR_Zona;NO;2.671;E170_SEPE_Bin, E331_SEPE;2671;362;362;362;362;Est_Gen_Zona;SI;3.455;E170_SEPE_Bin, E331_SEPE;3455;1204;1204;1.204;1.204;Est_Alm_Zona;SI;841; D81_SEPE_Bin ;841;-2040;-2040;421;0;0;D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
NUEVA MECO 220;24179;51426;SEPE;Comunidad de Madrid;;;;;NO;NO;NO;79; N/A ;  ;79;N/A;N/A;79;79;WSCR_Nudo;N/A;722;E292_SEPE, E346_SEPE;722;-127;-127;0;0;Est_Gen_Zona;SI;828;E292_SEPE, E346_SEPE;828;210;0;210;0;Est_Alm_Zona;SI;1.005; D73_SEPE ;1005;387;387;N/A;387;387;D_Zona;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;79;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;WSCR_Nudo;0;0;210;79;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;70; NO ; NO ;;;;;;;;;;;;;
NUEVO CAUCE 220;24184;51365;SEPE;Comunidad Valenciana;;;;✓;NO;SI;SI;591; N/A ;  ;591;N/A;N/A;591;591;WSCR_Nudo;N/A;730;E287_SEPE, E340_SEPE;730;1131;320;730;320;Est_Gen_Nudo;SI;746;E287_SEPE, E340_SEPE;746;1223;412;746;412;Est_Alm_Nudo;SI;842; N/A ;842;N/A;N/A;N/A;842;842;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;730;591;746;591;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;410;271;335;179;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;320;320;0;0;412;412;0;0;0;0;0;0; NO ;74; NO ; NO ;;;;;;;;;;;;;
NUEVO VIGO 220;21021;50777;SEPE;Galicia;;;;;NO;NO;NO;301; N/A ;  ;301;N/A;N/A;301;301;WSCR_Nudo;N/A;709;E280_SEPE;709;27;0;27;0;Est_Gen_Zona;SI;749;E280_SEPE;749;27;0;27;0;Est_Alm_Zona;SI;1.284; N/A ;1284;N/A;N/A;N/A;1.284;1.284;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;27;27;27;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;27;27;27;27;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;431; NO ; NO ;;;;;;;;;;;;;
NUREDDUNA 66;39840;50407;SEB;Islas Baleares;;;✓;;NO;SI;SI;159; N/A ; Riesgo interacciones ;142;N/A;N/A;142;142;WSCR_Nudo;N/A;81;N/A;69;N/A;N/A;69;69;Est_Gen_Nudo;N/A;86;N/A;69;N/A;N/A;69;69;Est_Alm_Nudo;N/A;229; N/A ;212;N/A;N/A;N/A;212;212;D_Nudo;N/A;17;0;17;0;17;0;17;0;0;0;0;0;0;0;69;69;69;69;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;69;69;0;0;69;69;17;17;0;0;0;17; NO ;87; NO ; NO ;;;;;;;;;;;;;
O INCIO 220;21091;52088;SEPE;Galicia;;;;;NO;NO;NO;267; N/A ;  ;267;N/A;N/A;267;267;WSCR_Nudo;N/A;575;E329_SEPE;575;1584;757;575;575;Est_Gen_Nudo;SI;637;E329_SEPE;637;1727;900;637;637;Est_Alm_Nudo;SI;1.287; N/A ;1287;N/A;N/A;N/A;1.287;1.287;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;575;267;637;267;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;575;267;637;267;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;1.787; SI ; NO ;;;;;;;;;;;;;
OLITE 220;22134;50408;SEPE;Comunidad Foral de Navarra;✓;✓;;;SI;NO;SI;324; N/A ;  ;65;N/A;N/A;65;65;WSCR_Nudo;N/A;859;E196_SEPE, E251_SEPE;608;-435;-435;0;0;Est_Gen_Zona;NO;867;E196_SEPE, E251_SEPE;608;22;22;22;22;Est_Alm_Zona;NO;1.131; N/A ;872;N/A;N/A;N/A;872;872;D_Nudo;N/A;259;0;259;0;259;219;40;500;0;500;0;500;0;500;0;0;22;22;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;22;22;0;0;259;259;0;0;0;1.831; SI ;1.760; SI ; NO ;;;;;;;;;;;;;
OLIVARES 220;25123;50409;SEPE;Andalucía;;;✓;;NO;SI;SI;322; N/A ;  ;263;N/A;N/A;263;263;WSCR_Nudo;N/A;698;N/A;510;N/A;N/A;510;510;Est_Gen_Nudo;N/A;822;N/A;633;N/A;N/A;633;633;Est_Alm_Nudo;N/A;1.168; N/A ;979;N/A;N/A;N/A;979;979;D_Nudo;N/A;189;0;59;130;189;189;0;0;0;0;0;0;0;0;510;263;633;263;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;510;263;633;263;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;189;189;0;0;0;0; NO ;23; NO ; NO ;;SI;03/08/2022;;;;;510;263;633;263;Concurso;
OLMEDILLA 220;24195;50411;SEPE;Castilla-La Mancha;✓;;✓;;SI;SI;SI;309; N/A ;  ;156;N/A;N/A;156;156;WSCR_Nudo;N/A;685;E83_SEPE;458;1006;1006;458;458;Est_Gen_Nudo;NO;719;E83_SEPE;493;1011;1011;493;493;Est_Alm_Nudo;NO;1.254; N/A ;1028;N/A;N/A;N/A;1.028;1.028;D_Nudo;N/A;226;30;153;43;196;226;0;80;0;80;0;80;80;0;458;156;493;156;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;458;156;493;156;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;226;226;0;0;0;0; NO ;336; NO ; NO ;;SI;29/06/2021;;;;;458;156;493;156;Concurso;
OLMEDILLA (COFRENTES) 400;14090;50411;SEPE;Castilla-La Mancha;✓;✓;✓;;SI;SI;SI;1.360; N/A ;  ;158;N/A;N/A;158;158;WSCR_Nudo;N/A;2.599;E83_SEPE;1233;1006;519;1.006;519;Est_Gen_Zona;SI;2.604;E83_SEPE;1238;1011;519;1.011;519;Est_Alm_Zona;SI;0; N/A ;-1367;N/A;N/A;0;0;0;D_Nudo;N/A;1.367;46;1.202;119;1.321;1.367;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.367;1.367;0;0;0;0; NO ;468; NO ; NO ;;;;;;;;;;;;;
OLMEDO 400;12068;50412;SEPE;Castilla y León;;✓;;;SI;NO;SI;906; N/A ;  ;419;N/A;N/A;419;419;WSCR_Nudo;N/A;1.621;E182_SEPE;1134;1809;1809;1.134;1.134;Est_Gen_Nudo;SI;2.059;E182_SEPE;1572;2776;2776;1.572;1.572;Est_Alm_Nudo;SI;886; N/A ;399;N/A;N/A;886;399;399;D_Nudo;N/A;487;0;487;0;487;487;0;0;0;0;0;0;0;0;399;399;399;399;D_Nudo;D_Nudo;D_Nudo;D_Nudo;399;399;399;399;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;487;487;0;0;0;0; NO ;170; NO ; NO ;;SI;29/06/2021;;;;;399;399;399;399;Concurso;
ONCALA 220;23195;50413;SEPE;Castilla y León;✓;;✓;;SI;SI;SI;354; N/A ;  ;-55;N/A;N/A;0;0;WSCR_Nudo;N/A;390;E13_SEPE;-19;682;682;0;0;Est_Gen_Nudo;NO;390;E13_SEPE;-19;828;828;0;0;Est_Alm_Nudo;NO;1.262; D56_SEPE ;853;853;853;N/A;853;853;D_Nudo;NO;409;0;409;0;409;409;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo;WSCR_Nudo/Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo/Est_Alm_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;409;508;-99;0;99;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
ONDINAS 220;21090;50414;SEPE;Castilla y León;✓;;;;SI;NO;SI;106; N/A ;  ;56;N/A;N/A;56;56;WSCR_Nudo;N/A;200;N/A;70;N/A;N/A;70;70;Est_Gen_Nudo;N/A;200;N/A;70;N/A;N/A;70;70;Est_Alm_Nudo;N/A;1.246; D16_SEPE ;1116;1008;928;N/A;1.008;928;D_Zona;SI;130;81;50;0;50;130;0;420;25;395;0;395;320;100;70;56;70;56;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;70;56;0;0;70;56;0;0;130;130;0;0;0;1.563; SI ;635; SI ; NO ;;;;;;;;;;;;;
ONUBA 220;25125;50415;SEPE;Andalucía;✓;;✓;;SI;SI;SI;565; N/A ;  ;419;N/A;N/A;419;419;WSCR_Nudo;N/A;623;E314_SEPE;135;-239;-239;0;0;Est_Gen_Zona;SI;669;E314_SEPE;181;-141;-141;0;0;Est_Alm_Zona;SI;1.038; N/A ;550;N/A;N/A;N/A;550;550;D_Nudo;N/A;488;147;146;195;341;488;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;488;488;0;0;0;0; NO ;22; NO ; NO ;;;;;;;;;;;;;
ORCOYEN 220;22130;50416;SEPE;Comunidad Foral de Navarra;;✓;✓;;SI;SI;SI;432; N/A ;  ;253;N/A;N/A;253;253;WSCR_Nudo;N/A;784;E251_SEPE;657;-435;-435;0;0;Est_Gen_Zona;NO;954;E251_SEPE;745;22;22;22;22;Est_Alm_Zona;NO;1.201; N/A ;992;N/A;N/A;N/A;992;992;D_Nudo;N/A;209;16;179;14;193;127;82;131;0;81;50;131;20;111;0;0;22;22;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;22;22;22;22;209;209;0;0;0;1.058; SI ;4.141; SI ; NO ;;;;;;;;;;;;;
ORGIVA 220;25127;50417;SEPE;Andalucía;;;✓;;NO;SI;SI;221; N/A ;  ;221;N/A;N/A;221;221;WSCR_Nudo;N/A;563;E218_SEPE;218;364;364;218;218;Est_Gen_Nudo;NO;643;E218_SEPE;298;364;364;298;298;Est_Alm_Nudo;NO;1.252; N/A ;907;N/A;N/A;N/A;907;907;D_Nudo;N/A;345;113;0;232;232;345;0;0;0;0;0;0;0;0;218;218;298;221;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;218;218;0;0;298;221;345;353;-8;0;8;0; NO ;1.946; SI ; NO ;;;;;;;;;;;;;
ORMAIZTEGUI 220;22135;50418;SEPE;País Vasco;;;✓;;NO;SI;SI;625; N/A ;  ;625;N/A;N/A;625;625;WSCR_Nudo;N/A;791;N/A;726;N/A;N/A;726;726;Est_Gen_Nudo;N/A;852;N/A;788;N/A;N/A;788;788;Est_Alm_Nudo;N/A;969; D51_SEPE ;905;905;905;N/A;905;905;D_Nudo/D_Zona;NO;64;45;0;19;19;64;0;30;0;0;30;30;30;0;726;625;788;625;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;726;625;788;625;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;64;64;0;0;0;168; NO ;0; NO ; NO ;;SI;03/08/2022;;;;;726;625;788;625;Concurso;
ORTIGUERO 220;21088;52087;SEPE;Principado de Asturias;;;;✓;NO;SI;SI;227; N/A ;  ;227;N/A;N/A;227;227;WSCR_Nudo;N/A;626;E320_SEPE;626;384;384;384;384;Est_Gen_Zona;SI;732;E320_SEPE;732;384;384;384;384;Est_Alm_Zona;SI;1.266; N/A ;1266;N/A;N/A;N/A;1.266;1.266;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384;227;384;227;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;384;227;384;227;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;617; SI ; NO ;;SI;19/06/2024;;;;;384;227;384;227;Concurso;
ORTUELLA 220;22140;50419;SEPE;País Vasco;;;✓;;NO;SI;SI;630; N/A ;  ;630;N/A;N/A;630;630;WSCR_Nudo;N/A;1.170;N/A;705;N/A;N/A;705;705;Est_Gen_Nudo;N/A;1.179;N/A;705;N/A;N/A;705;705;Est_Alm_Nudo;N/A;976; N/A ;502;N/A;N/A;N/A;502;502;D_Nudo;N/A;474;128;0;346;346;404;70;50;0;0;50;50;50;0;502;502;502;502;D_Nudo;D_Nudo;D_Nudo;D_Nudo;502;502;502;502;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;474;474;0;0;0;523; SI ;633; SI ; NO ;;SI;19/06/2024;;;;;502;502;502;502;Concurso;
OTERO 220;24200;50420;SEPE;Castilla y León;;;✓;;NO;SI;SI;100; N/A ;  ;100;N/A;N/A;100;100;WSCR_Nudo;N/A;239;N/A;239;N/A;N/A;239;239;Est_Gen_Nudo;N/A;239;N/A;239;N/A;N/A;239;239;Est_Alm_Nudo;N/A;906; D59_SEPE ;906;549;0;N/A;549;0;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;100;239;100;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;239;100;239;100;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
PALAFOX 220;24203;50421;SEPE;Comunidad de Madrid;;;✓;;NO;SI;SI;872; N/A ;  ;872;N/A;N/A;872;872;WSCR_Nudo;N/A;787;N/A;787;N/A;N/A;787;787;Est_Gen_Nudo;N/A;812;N/A;812;N/A;N/A;812;812;Est_Alm_Nudo;N/A;724; N/A ;724;N/A;N/A;N/A;724;724;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;724;724;724;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;724;724;0;0;724;724;0;0;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
PALAU 220;23205;50422;SEPE;Cataluña;;;✓;;NO;SI;SI;702; N/A ;  ;622;N/A;N/A;622;622;WSCR_Nudo;N/A;744;N/A;742;N/A;N/A;742;742;Est_Gen_Nudo;N/A;928;N/A;847;N/A;N/A;847;847;Est_Alm_Nudo;N/A;817; N/A ;736;N/A;N/A;N/A;736;736;D_Nudo;N/A;81;0;80;1;81;1;80;20;0;20;0;20;0;20;736;622;736;622;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;736;622;736;622;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;81;81;0;0;0;272; NO ;1.845; SI ; NO ;;SI;19/06/2024;;;;;736;622;736;622;Concurso;
PALENCIA 220;22150;50423;SEPE;Castilla y León;;✓;✓;;SI;SI;SI;467; N/A ;  ;195;N/A;N/A;195;195;WSCR_Nudo;N/A;1.497;N/A;1138;N/A;N/A;1.138;1.138;Est_Gen_Nudo;N/A;1.764;N/A;1406;N/A;N/A;1.406;1.406;Est_Alm_Nudo;N/A;1.186; N/A ;827;N/A;N/A;N/A;827;827;D_Nudo;N/A;358;0;272;86;358;358;0;224;0;187;37;224;224;0;827;195;827;195;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;827;195;827;195;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;358;358;0;0;0;60; NO ;3.471; SI ; NO ;;SI;29/06/2021;;;;;827;195;827;195;Concurso;
PALMA NOVA 66;39855;50424;SEB;Islas Baleares;;;✓;;NO;SI;SI;5; N/A ; Riesgo interacciones ;5;N/A;N/A;5;5;WSCR_Nudo;N/A;120;N/A;120;N/A;N/A;120;120;Est_Gen_Nudo;N/A;125;N/A;125;N/A;N/A;125;125;Est_Alm_Nudo;N/A;219; N/A ;219;N/A;N/A;N/A;219;219;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;5;125;5;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;120;5;0;0;125;5;0;0;0;0;0;0; NO ;31; NO ; NO ;;;;;;;;;;;;;
