Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2003M02	11.493
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2003M01	14.291
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M12	12.599
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M11	18.411
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M10	26.681
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M09	34.193
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M08	29.899
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M07	28.693
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M06	23.653
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M05	31.838
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M04	31.104
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M03	20.254
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M02	10.600
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2002M01	11.854
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M12	11.510
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M11	13.890
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M10	24.460
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M09	27.389
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M08	27.740
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M07	28.922
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M06	28.385
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M05	31.869
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M04	29.761
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M03	20.587
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M02	12.781
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2001M01	12.838
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M12	14.245
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M11	18.326
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M10	33.679
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M09	30.423
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M08	28.018
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M07	28.430
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M06	23.442
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M05	27.834
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M04	28.175
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M03	20.085
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M02	9.589
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2000M01	9.493
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M12	9.396
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M11	17.885
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M10	28.747
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M09	32.036
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M08	28.487
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M07	23.542
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M06	22.150
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M05	27.486
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M04	28.983
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M03	16.996
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M02	11.890
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	1999M01	9.901
Total Nacional	09 Cataluña		Viajero	Total		2026M01	1.162.644
Total Nacional	09 Cataluña		Viajero	Total		2025M12	1.269.823
Total Nacional	09 Cataluña		Viajero	Total		2025M11	1.313.990
Total Nacional	09 Cataluña		Viajero	Total		2025M10	2.094.477
Total Nacional	09 Cataluña		Viajero	Total		2025M09	2.232.441
Total Nacional	09 Cataluña		Viajero	Total		2025M08	2.723.647
Total Nacional	09 Cataluña		Viajero	Total		2025M07	2.615.520
Total Nacional	09 Cataluña		Viajero	Total		2025M06	2.455.692
Total Nacional	09 Cataluña		Viajero	Total		2025M05	2.273.037
Total Nacional	09 Cataluña		Viajero	Total		2025M04	1.969.774
Total Nacional	09 Cataluña		Viajero	Total		2025M03	1.401.065
Total Nacional	09 Cataluña		Viajero	Total		2025M02	1.169.902
Total Nacional	09 Cataluña		Viajero	Total		2025M01	1.066.598
Total Nacional	09 Cataluña		Viajero	Total		2024M12	1.162.859
Total Nacional	09 Cataluña		Viajero	Total		2024M11	1.250.229
Total Nacional	09 Cataluña		Viajero	Total		2024M10	1.936.191
Total Nacional	09 Cataluña		Viajero	Total		2024M09	2.149.212
Total Nacional	09 Cataluña		Viajero	Total		2024M08	2.645.423
Total Nacional	09 Cataluña		Viajero	Total		2024M07	2.531.716
Total Nacional	09 Cataluña		Viajero	Total		2024M06	2.317.946
Total Nacional	09 Cataluña		Viajero	Total		2024M05	2.230.192
Total Nacional	09 Cataluña		Viajero	Total		2024M04	1.710.107
Total Nacional	09 Cataluña		Viajero	Total		2024M03	1.517.111
Total Nacional	09 Cataluña		Viajero	Total		2024M02	1.136.047
Total Nacional	09 Cataluña		Viajero	Total		2024M01	1.008.841
Total Nacional	09 Cataluña		Viajero	Total		2023M12	1.155.556
Total Nacional	09 Cataluña		Viajero	Total		2023M11	1.199.295
Total Nacional	09 Cataluña		Viajero	Total		2023M10	1.940.523
Total Nacional	09 Cataluña		Viajero	Total		2023M09	2.194.081
Total Nacional	09 Cataluña		Viajero	Total		2023M08	2.595.231
Total Nacional	09 Cataluña		Viajero	Total		2023M07	2.563.852
Total Nacional	09 Cataluña		Viajero	Total		2023M06	2.292.329
Total Nacional	09 Cataluña		Viajero	Total		2023M05	2.084.531
Total Nacional	09 Cataluña		Viajero	Total		2023M04	1.880.203
Total Nacional	09 Cataluña		Viajero	Total		2023M03	1.288.220
Total Nacional	09 Cataluña		Viajero	Total		2023M02	1.051.913
Total Nacional	09 Cataluña		Viajero	Total		2023M01	961.361
Total Nacional	09 Cataluña		Viajero	Total		2022M12	1.085.088
Total Nacional	09 Cataluña		Viajero	Total		2022M11	1.082.030
Total Nacional	09 Cataluña		Viajero	Total		2022M10	1.819.727
Total Nacional	09 Cataluña		Viajero	Total		2022M09	2.025.216
Total Nacional	09 Cataluña		Viajero	Total		2022M08	2.497.068
Total Nacional	09 Cataluña		Viajero	Total		2022M07	2.446.021
Total Nacional	09 Cataluña		Viajero	Total		2022M06	2.157.781
Total Nacional	09 Cataluña		Viajero	Total		2022M05	1.851.605
Total Nacional	09 Cataluña		Viajero	Total		2022M04	1.599.940
Total Nacional	09 Cataluña		Viajero	Total		2022M03	1.018.702
Total Nacional	09 Cataluña		Viajero	Total		2022M02	863.558
Total Nacional	09 Cataluña		Viajero	Total		2022M01	649.122
Total Nacional	09 Cataluña		Viajero	Total		2021M12	841.910
Total Nacional	09 Cataluña		Viajero	Total		2021M11	834.732
Total Nacional	09 Cataluña		Viajero	Total		2021M10	1.311.261
Total Nacional	09 Cataluña		Viajero	Total		2021M09	1.305.876
Total Nacional	09 Cataluña		Viajero	Total		2021M08	1.904.001
Total Nacional	09 Cataluña		Viajero	Total		2021M07	1.487.801
Total Nacional	09 Cataluña		Viajero	Total		2021M06	994.986
Total Nacional	09 Cataluña		Viajero	Total		2021M05	577.768
Total Nacional	09 Cataluña		Viajero	Total		2021M04	309.920
Total Nacional	09 Cataluña		Viajero	Total		2021M03	296.395
Total Nacional	09 Cataluña		Viajero	Total		2021M02	191.853
Total Nacional	09 Cataluña		Viajero	Total		2021M01	181.552
Total Nacional	09 Cataluña		Viajero	Total		2020M12	220.589
Total Nacional	09 Cataluña		Viajero	Total		2020M11	144.031
Total Nacional	09 Cataluña		Viajero	Total		2020M10	333.386
Total Nacional	09 Cataluña		Viajero	Total		2020M09	627.692
Total Nacional	09 Cataluña		Viajero	Total		2020M08	1.085.954
Total Nacional	09 Cataluña		Viajero	Total		2020M07	758.997
Total Nacional	09 Cataluña		Viajero	Total		2020M06	156.464
Total Nacional	09 Cataluña		Viajero	Total		2020M05	10.562
Total Nacional	09 Cataluña		Viajero	Total		2020M04	0
Total Nacional	09 Cataluña		Viajero	Total		2020M03	438.706
Total Nacional	09 Cataluña		Viajero	Total		2020M02	1.101.846
Total Nacional	09 Cataluña		Viajero	Total		2020M01	1.017.702
Total Nacional	09 Cataluña		Viajero	Total		2019M12	1.132.586
Total Nacional	09 Cataluña		Viajero	Total		2019M11	1.204.415
Total Nacional	09 Cataluña		Viajero	Total		2019M10	1.824.566
Total Nacional	09 Cataluña		Viajero	Total		2019M09	2.064.468
Total Nacional	09 Cataluña		Viajero	Total		2019M08	2.586.101
Total Nacional	09 Cataluña		Viajero	Total		2019M07	2.436.525
Total Nacional	09 Cataluña		Viajero	Total		2019M06	2.300.304
Total Nacional	09 Cataluña		Viajero	Total		2019M05	1.997.378
Total Nacional	09 Cataluña		Viajero	Total		2019M04	1.786.884
Total Nacional	09 Cataluña		Viajero	Total		2019M03	1.362.327
Total Nacional	09 Cataluña		Viajero	Total		2019M02	1.097.040
Total Nacional	09 Cataluña		Viajero	Total		2019M01	959.797
Total Nacional	09 Cataluña		Viajero	Total		2018M12	1.083.357
Total Nacional	09 Cataluña		Viajero	Total		2018M11	1.131.352
Total Nacional	09 Cataluña		Viajero	Total		2018M10	1.790.022
Total Nacional	09 Cataluña		Viajero	Total		2018M09	2.092.485
Total Nacional	09 Cataluña		Viajero	Total		2018M08	2.467.480
Total Nacional	09 Cataluña		Viajero	Total		2018M07	2.373.993
Total Nacional	09 Cataluña		Viajero	Total		2018M06	2.168.168
Total Nacional	09 Cataluña		Viajero	Total		2018M05	1.956.281
Total Nacional	09 Cataluña		Viajero	Total		2018M04	1.647.449
Total Nacional	09 Cataluña		Viajero	Total		2018M03	1.386.693
Total Nacional	09 Cataluña		Viajero	Total		2018M02	1.021.010
Total Nacional	09 Cataluña		Viajero	Total		2018M01	927.042
Total Nacional	09 Cataluña		Viajero	Total		2017M12	977.112
Total Nacional	09 Cataluña		Viajero	Total		2017M11	993.635
Total Nacional	09 Cataluña		Viajero	Total		2017M10	1.661.420
Total Nacional	09 Cataluña		Viajero	Total		2017M09	2.063.388
Total Nacional	09 Cataluña		Viajero	Total		2017M08	2.434.939
Total Nacional	09 Cataluña		Viajero	Total		2017M07	2.471.000
Total Nacional	09 Cataluña		Viajero	Total		2017M06	2.181.419
Total Nacional	09 Cataluña		Viajero	Total		2017M05	1.910.609
Total Nacional	09 Cataluña		Viajero	Total		2017M04	1.835.414
Total Nacional	09 Cataluña		Viajero	Total		2017M03	1.318.810
Total Nacional	09 Cataluña		Viajero	Total		2017M02	1.023.683
Total Nacional	09 Cataluña		Viajero	Total		2017M01	900.538
Total Nacional	09 Cataluña		Viajero	Total		2016M12	1.011.373
Total Nacional	09 Cataluña		Viajero	Total		2016M11	1.013.465
Total Nacional	09 Cataluña		Viajero	Total		2016M10	1.730.997
Total Nacional	09 Cataluña		Viajero	Total		2016M09	1.968.077
Total Nacional	09 Cataluña		Viajero	Total		2016M08	2.438.860
Total Nacional	09 Cataluña		Viajero	Total		2016M07	2.402.995
Total Nacional	09 Cataluña		Viajero	Total		2016M06	2.030.224
Total Nacional	09 Cataluña		Viajero	Total		2016M05	1.869.116
Total Nacional	09 Cataluña		Viajero	Total		2016M04	1.482.960
Total Nacional	09 Cataluña		Viajero	Total		2016M03	1.330.500
Total Nacional	09 Cataluña		Viajero	Total		2016M02	986.261
Total Nacional	09 Cataluña		Viajero	Total		2016M01	829.552
Total Nacional	09 Cataluña		Viajero	Total		2015M12	933.788
Total Nacional	09 Cataluña		Viajero	Total		2015M11	961.211
Total Nacional	09 Cataluña		Viajero	Total		2015M10	1.627.026
Total Nacional	09 Cataluña		Viajero	Total		2015M09	1.794.383
Total Nacional	09 Cataluña		Viajero	Total		2015M08	2.365.399
Total Nacional	09 Cataluña		Viajero	Total		2015M07	2.126.562
Total Nacional	09 Cataluña		Viajero	Total		2015M06	1.856.590
Total Nacional	09 Cataluña		Viajero	Total		2015M05	1.812.208
Total Nacional	09 Cataluña		Viajero	Total		2015M04	1.486.710
Total Nacional	09 Cataluña		Viajero	Total		2015M03	1.106.349
Total Nacional	09 Cataluña		Viajero	Total		2015M02	868.751
Total Nacional	09 Cataluña		Viajero	Total		2015M01	747.378
Total Nacional	09 Cataluña		Viajero	Total		2014M12	925.683
Total Nacional	09 Cataluña		Viajero	Total		2014M11	893.283
Total Nacional	09 Cataluña		Viajero	Total		2014M10	1.483.133
Total Nacional	09 Cataluña		Viajero	Total		2014M09	1.744.170
Total Nacional	09 Cataluña		Viajero	Total		2014M08	2.264.010
Total Nacional	09 Cataluña		Viajero	Total		2014M07	2.026.627
Total Nacional	09 Cataluña		Viajero	Total		2014M06	1.830.457
Total Nacional	09 Cataluña		Viajero	Total		2014M05	1.646.843
Total Nacional	09 Cataluña		Viajero	Total		2014M04	1.406.372
Total Nacional	09 Cataluña		Viajero	Total		2014M03	1.063.768
Total Nacional	09 Cataluña		Viajero	Total		2014M02	806.222
Total Nacional	09 Cataluña		Viajero	Total		2014M01	682.899
Total Nacional	09 Cataluña		Viajero	Total		2013M12	860.919
Total Nacional	09 Cataluña		Viajero	Total		2013M11	915.436
Total Nacional	09 Cataluña		Viajero	Total		2013M10	1.440.172
Total Nacional	09 Cataluña		Viajero	Total		2013M09	1.688.830
Total Nacional	09 Cataluña		Viajero	Total		2013M08	2.186.978
Total Nacional	09 Cataluña		Viajero	Total		2013M07	1.991.100
Total Nacional	09 Cataluña		Viajero	Total		2013M06	1.750.546
Total Nacional	09 Cataluña		Viajero	Total		2013M05	1.603.759
Total Nacional	09 Cataluña		Viajero	Total		2013M04	1.235.961
Total Nacional	09 Cataluña		Viajero	Total		2013M03	1.139.116
Total Nacional	09 Cataluña		Viajero	Total		2013M02	757.683
Total Nacional	09 Cataluña		Viajero	Total		2013M01	637.194
Total Nacional	09 Cataluña		Viajero	Total		2012M12	773.392
Total Nacional	09 Cataluña		Viajero	Total		2012M11	867.181
Total Nacional	09 Cataluña		Viajero	Total		2012M10	1.366.537
Total Nacional	09 Cataluña		Viajero	Total		2012M09	1.727.947
Total Nacional	09 Cataluña		Viajero	Total		2012M08	2.096.877
Total Nacional	09 Cataluña		Viajero	Total		2012M07	2.048.089
Total Nacional	09 Cataluña		Viajero	Total		2012M06	1.716.834
Total Nacional	09 Cataluña		Viajero	Total		2012M05	1.549.765
Total Nacional	09 Cataluña		Viajero	Total		2012M04	1.455.135
Total Nacional	09 Cataluña		Viajero	Total		2012M03	1.085.277
Total Nacional	09 Cataluña		Viajero	Total		2012M02	846.700
Total Nacional	09 Cataluña		Viajero	Total		2012M01	703.207
Total Nacional	09 Cataluña		Viajero	Total		2011M12	802.241
Total Nacional	09 Cataluña		Viajero	Total		2011M11	865.513
Total Nacional	09 Cataluña		Viajero	Total		2011M10	1.468.730
Total Nacional	09 Cataluña		Viajero	Total		2011M09	1.713.858
Total Nacional	09 Cataluña		Viajero	Total		2011M08	2.170.432
Total Nacional	09 Cataluña		Viajero	Total		2011M07	2.108.217
Total Nacional	09 Cataluña		Viajero	Total		2011M06	1.819.695
Total Nacional	09 Cataluña		Viajero	Total		2011M05	1.536.277
Total Nacional	09 Cataluña		Viajero	Total		2011M04	1.442.753
Total Nacional	09 Cataluña		Viajero	Total		2011M03	1.057.563
Total Nacional	09 Cataluña		Viajero	Total		2011M02	844.553
